,play,bgcolor,dx,dy,edgecolor,frame,player,player_num,team,x,y,z
0,Liverpool [3] - 0 Bournemouth,,0.0,0.0,,0,0,,,46.394557823129254,11.134453781512605,0.0
1,Liverpool [3] - 0 Bournemouth,,0.1857446021017708,1.2175798206067583,,1,0,,,46.580302425231025,12.352033602119365,0.0
2,Liverpool [3] - 0 Bournemouth,,0.17865897695351407,1.1711326339896715,,2,0,,,46.758961402184546,13.523166236109034,0.0
3,Liverpool [3] - 0 Bournemouth,,0.1715733518052005,1.124685447372471,,3,0,,,46.930534753989754,14.647851683481505,0.0
4,Liverpool [3] - 0 Bournemouth,,0.16448772665690115,1.0782382607553131,,4,0,,,47.09502248064664,15.726089944236815,0.0
5,Liverpool [3] - 0 Bournemouth,,0.1574021015086089,1.0317910741381695,,5,0,,,47.25242458215525,16.757881018374988,0.0
6,Liverpool [3] - 0 Bournemouth,,0.15031647636030954,0.9853438875210544,,6,0,,,47.40274105851556,17.743224905896042,0.0
7,Liverpool [3] - 0 Bournemouth,,0.14323085121201018,0.9388967009038396,,7,0,,,47.54597190972758,18.68212160679988,0.0
8,Liverpool [3] - 0 Bournemouth,,0.13614522606371082,0.8924495142867244,,8,0,,,47.68211713579128,19.57457112108661,0.0
9,Liverpool [3] - 0 Bournemouth,,0.12905960091541854,0.8460023276695949,,9,0,,,47.81117673670671,20.420573448756198,0.0
10,Liverpool [3] - 0 Bournemouth,,0.1219739757671192,0.7995551410523659,,10,0,,,47.93315071247382,21.220128589808567,0.0
11,Liverpool [3] - 0 Bournemouth,,0.11488835061881986,0.7531079544352934,,11,0,,,48.04803906309265,21.97323654424386,0.0
12,Liverpool [3] - 0 Bournemouth,,0.1078027254705205,0.706660767818093,,12,0,,,48.15584178856316,22.679897312061954,0.0
13,Liverpool [3] - 0 Bournemouth,,0.10071710032222114,0.6602135812009351,,13,0,,,48.256558888885394,23.340110893262892,0.0
14,Liverpool [3] - 0 Bournemouth,,0.0936314751739431,0.6137663945838199,,14,0,,,48.35019036405932,23.953877287846712,0.0
15,Liverpool [3] - 0 Bournemouth,,0.08654585002562952,0.567319207966662,,15,0,,,48.43673621408495,24.52119649581337,0.0
16,Liverpool [3] - 0 Bournemouth,,0.07946022487734439,0.5208720213494757,,16,0,,,48.5161964389623,25.042068517162853,0.0
17,Liverpool [3] - 0 Bournemouth,,0.07237459972902371,0.4744248347323605,,17,0,,,48.58857103869132,25.516493351895214,0.0
18,Liverpool [3] - 0 Bournemouth,,0.06528897458073146,0.4279776481151599,,18,0,,,48.653860013272045,25.94447100001037,0.0
19,Liverpool [3] - 0 Bournemouth,,0.05820334943245342,0.38153046149805897,,19,0,,,48.7120633627045,26.326001461508426,0.0
20,Liverpool [3] - 0 Bournemouth,,0.05111772428413275,0.33508327488088696,,20,0,,,48.76318108698864,26.661084736389324,0.0
21,Liverpool [3] - 0 Bournemouth,,0.04403209913586181,0.2886360882637433,,21,0,,,48.8072131861245,26.94972082465305,0.0
22,Liverpool [3] - 0 Bournemouth,,0.03694647398755535,0.24218890164657125,,22,0,,,48.84415966011207,27.191909726299627,0.0
23,Liverpool [3] - 0 Bournemouth,,0.16373543418495728,0.07662426977371695,,23,0,,,49.007895094297005,27.26853399607334,0.0
24,Liverpool [3] - 0 Bournemouth,,0.1633856825888813,0.07649521182742093,,24,0,,,49.171280776885894,27.34502920790077,0.0
25,Liverpool [3] - 0 Bournemouth,,0.16282608003513133,0.07628871911335011,,25,0,,,49.33410685692103,27.42131792701411,0.0
26,Liverpool [3] - 0 Bournemouth,,0.16205662652374286,0.07600479163150453,,26,0,,,49.496163483444775,27.49732271864562,0.0
27,Liverpool [3] - 0 Bournemouth,,0.16107732205474434,0.07564342938194102,,27,0,,,49.657240805499505,27.572966148027557,0.0
28,Liverpool [3] - 0 Bournemouth,,0.1598881666280434,0.07520463236454589,,28,0,,,49.81712897212756,27.648170780392107,0.0
29,Liverpool [3] - 0 Bournemouth,,0.15848916024371107,0.07468840057934756,,29,0,,,49.97561813237128,27.72285918097145,0.0
30,Liverpool [3] - 0 Bournemouth,,0.15688030290174027,0.07409473402647393,,30,0,,,50.13249843527301,27.796953914997932,0.0
31,Liverpool [3] - 0 Bournemouth,,0.15506159460209545,0.07342363270572605,,31,0,,,50.287560029875095,27.870377547703647,0.0
32,Liverpool [3] - 0 Bournemouth,,0.15303303534479085,0.07267509661723183,,32,0,,,50.440593065219886,27.94305264432089,0.0
33,Liverpool [3] - 0 Bournemouth,,0.1507946251299188,0.07184912576103386,,33,0,,,50.591387690349805,28.01490177008192,0.0
34,Liverpool [3] - 0 Bournemouth,,0.14834636395732306,0.07094572013700429,,34,0,,,50.739734054307135,28.085847490218924,0.0
35,Liverpool [3] - 0 Bournemouth,,0.14568825182708878,0.06996487974518573,,35,0,,,50.88542230613422,28.15581236996411,0.0
36,Liverpool [3] - 0 Bournemouth,,0.14282028873920186,0.0689066045856066,,36,0,,,51.028242594873426,28.224718974549717,0.0
37,Liverpool [3] - 0 Bournemouth,,0.1397424746936764,0.06777089465828112,,37,0,,,51.1679850695671,28.292489869208,0.0
38,Liverpool [3] - 0 Bournemouth,,0.1364548096905054,0.06655774996318088,,38,0,,,51.30443987925762,28.359047619171186,0.0
39,Liverpool [3] - 0 Bournemouth,,0.13295729372966034,0.065267170500249,,39,0,,,51.43739717298727,28.42431478967143,0.0
40,Liverpool [3] - 0 Bournemouth,,0.12924992681119818,0.06389915626959919,,40,0,,,51.566647099798466,28.488213945941034,0.0
41,Liverpool [3] - 0 Bournemouth,,0.12533270893504067,0.062453707271174615,,41,0,,,51.69197980873352,28.550667653212198,0.0
42,Liverpool [3] - 0 Bournemouth,,0.12120564010129442,0.06093082350497525,,42,0,,,51.8131854488348,28.611598476717177,0.0
43,Liverpool [3] - 0 Bournemouth,,0.8639476745728132,0.05517297444391999,,43,0,,,52.67713312340762,28.66677145116109,0.0
44,Liverpool [3] - 0 Bournemouth,,0.8530999010804265,0.05448021960786775,,44,0,,,53.53023302448804,28.721251670768968,0.0
45,Liverpool [3] - 0 Bournemouth,,0.8422521275880115,0.053787464771787086,,45,0,,,54.372485152076045,28.775039135540748,0.0
46,Liverpool [3] - 0 Bournemouth,,0.8314043540956533,0.05309470993576326,,46,0,,,55.203889506171706,28.82813384547652,0.0
47,Liverpool [3] - 0 Bournemouth,,0.8205565806032453,0.052401955099668385,,47,0,,,56.02444608677495,28.88053580057618,0.0
48,Liverpool [3] - 0 Bournemouth,,0.8097088071108516,0.05170920026363035,,48,0,,,56.834154893885795,28.93224500083981,0.0
49,Liverpool [3] - 0 Bournemouth,,0.7988610336184365,0.05101644542752126,,49,0,,,57.63301592750425,28.983261446267328,0.0
50,Liverpool [3] - 0 Bournemouth,,0.788013260126057,0.05032369059146902,,50,0,,,58.4210291876303,29.033585136858807,0.0
51,Liverpool [3] - 0 Bournemouth,,0.777165486633649,0.04963093575537414,,51,0,,,59.19819467426394,29.083216072614174,0.0
52,Liverpool [3] - 0 Bournemouth,,0.7663177131412624,0.04893818091932189,,52,0,,,59.964512387405215,29.1321542535335,0.0
53,Liverpool [3] - 0 Bournemouth,,0.7554699396489042,0.04824542608329807,,53,0,,,60.71998232705411,29.180399679616798,0.0
54,Liverpool [3] - 0 Bournemouth,,0.7446221661564749,0.04755267124720319,,54,0,,,61.464604493210594,29.227952350864,0.0
55,Liverpool [3] - 0 Bournemouth,,0.7337743926640812,0.046859916411122526,,55,0,,,62.19837888587468,29.274812267275124,0.0
56,Liverpool [3] - 0 Bournemouth,,0.7229266191716945,0.04616716157505607,,56,0,,,62.921305505046355,29.32097942885018,0.0
57,Liverpool [3] - 0 Bournemouth,,0.7120788456792866,0.04547440673900383,,57,0,,,63.63338435072565,29.366453835589184,0.0
58,Liverpool [3] - 0 Bournemouth,,0.7012310721869142,0.04478165190293737,,58,0,,,64.33461542291256,29.41123548749212,0.0
59,Liverpool [3] - 0 Bournemouth,,0.6903832986944991,0.044088897066842485,,59,0,,,65.02499872160706,29.455324384558963,0.0
60,Liverpool [3] - 0 Bournemouth,,0.6795355252021267,0.04339614223083288,,60,0,,,65.70453424680919,29.4987205267898,0.0
61,Liverpool [3] - 0 Bournemouth,,0.6686877517097116,0.04270338739468117,,61,0,,,66.3732219985189,29.54142391418448,0.0
62,Liverpool [3] - 0 Bournemouth,,0.6578399782173534,0.042010632558657335,,62,0,,,67.03106197673625,29.58343454674313,0.0
63,Liverpool [3] - 0 Bournemouth,,0.6469922047249099,0.04131787772259088,,63,0,,,67.67805418146115,29.624752424465733,0.0
64,Liverpool [3] - 0 Bournemouth,,0.6361444312325517,0.040625122886524416,,64,0,,,68.31419861269372,29.665377547352254,0.0
65,Liverpool [3] - 0 Bournemouth,,0.6252966577401367,0.03993236805047218,,65,0,,,68.93949527043385,29.70530991540272,0.0
66,Liverpool [3] - 0 Bournemouth,,0.61444888424775,0.03923961321439151,,66,0,,,69.5539441546816,29.744549528617114,0.0
67,Liverpool [3] - 0 Bournemouth,,0.6036011107553492,0.03854685837831085,,67,0,,,70.15754526543695,29.783096386995425,0.0
68,Liverpool [3] - 0 Bournemouth,,0.5927533372629767,0.03785410354224439,,68,0,,,70.75029860269994,29.820950490537676,0.0
69,Liverpool [3] - 0 Bournemouth,,0.5819055637705759,0.03716134870622057,,69,0,,,71.3322041664705,29.85811183924389,0.0
70,Liverpool [3] - 0 Bournemouth,,0.571057790278175,0.036468593870097266,,70,0,,,71.90326195674868,29.89458043311399,0.0
71,Liverpool [3] - 0 Bournemouth,,0.5602100167857884,0.035775839034073435,,71,0,,,72.46347197353447,29.93035627214806,0.0
72,Liverpool [3] - 0 Bournemouth,,0.5493622432933734,0.035083084197978565,,72,0,,,73.01283421682784,29.96543935634604,0.0
73,Liverpool [3] - 0 Bournemouth,,0.5385144698009867,0.034390329361912116,,73,0,,,73.55134868662883,29.99982968570795,0.0
74,Liverpool [3] - 0 Bournemouth,,0.5276666963086001,0.03369757452584565,,74,0,,,74.07901538293744,30.033527260233804,0.0
75,Liverpool [3] - 0 Bournemouth,,0.5168189228162134,0.0330048196897792,,75,0,,,74.59583430575364,30.066532079923572,0.0
